Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,727631,-,-,-,39.05,-95.66,-6,272,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Surface Albedo,Temperature
2015,1,1,0,0,0,0,0,0,0,0,163.04,0.14339999854564667,-7
2015,1,1,0,30,0,0,0,0,0,0,163.94,0.14339999854564667,-7
2015,1,1,1,0,0,0,0,0,0,0,162.41,0.14339999854564667,-7
2015,1,1,1,30,0,0,0,0,0,0,158.97,0.14339999854564667,-7
2015,1,1,2,0,0,0,0,0,0,0,154.39000000000001,0.14339999854564667,-7
2015,1,1,2,30,0,0,0,0,0,0,149.20000000000002,0.14339999854564667,-7
2015,1,1,3,0,0,0,0,0,0,0,143.68,0.14339999854564667,-8
2015,1,1,3,30,0,0,0,0,0,0,137.97,0.14339999854564667,-8
2015,1,1,4,0,0,0,0,0,0,0,132.18,0.14339999854564667,-8
2015,1,1,4,30,0,0,0,0,0,0,126.36,0.14339999854564667,-8
2015,1,1,5,0,0,0,0,0,0,0,120.55,0.14339999854564667,-8
2015,1,1,5,30,0,0,0,0,0,0,114.79,0.14339999854564667,-8
2015,1,1,6,0,0,0,0,0,0,0,109.10000000000001,0.14339999854564667,-8
2015,1,1,6,30,0,0,0,0,0,0,103.53,0.14339999854564667,-8
2015,1,1,7,0,0,0,0,0,0,0,98.09,0.14339999854564667,-8
2015,1,1,7,30,0,0,0,0,0,0,92.83,0.14339999854564667,-7
2015,1,1,8,0,19,0,19,16,217,25,87.78,0.14339999854564667,-7
2015,1,1,8,30,39,276,73,36,469,93,83.0,0.14339999854564667,-6
2015,1,1,9,0,66,314,128,49,617,172,78.54,0.14339999854564667,-5
2015,1,1,9,30,98,284,174,59,709,249,74.46000000000001,0.14339999854564667,-4
2015,1,1,10,0,108,421,246,66,771,319,70.83,0.14339999854564667,-3
2015,1,1,10,30,124,462,299,71,813,379,67.72,0.14339999854564667,-2
2015,1,1,11,0,137,484,340,74,841,427,65.22,0.14339999854564667,-1
2015,1,1,11,30,77,859,462,77,859,462,63.410000000000004,0.14339999854564667,0
2015,1,1,12,0,173,413,365,77,871,482,62.33,0.14339999854564667,0
2015,1,1,12,30,173,424,372,78,874,488,62.03,0.14339999854564667,0
2015,1,1,13,0,179,374,352,76,872,479,62.53,0.14339999854564667,1
2015,1,1,13,30,153,457,355,74,859,454,63.79,0.14339999854564667,1
2015,1,1,14,0,141,446,324,70,843,416,65.78,0.14339999854564667,1
2015,1,1,14,30,137,347,265,66,810,364,68.44,0.14339999854564667,1
2015,1,1,15,0,126,215,193,60,767,302,71.68,0.14339999854564667,1
2015,1,1,15,30,93,19,98,54,699,230,75.43,0.14339999854564667,0
2015,1,1,16,0,68,90,84,44,598,152,79.61,0.14339999854564667,0
2015,1,1,16,30,36,53,41,30,434,74,84.16,0.14339999854564667,0
2015,1,1,17,0,0,0,0,0,0,0,89.01,0.14339999854564667,-1
2015,1,1,17,30,0,0,0,0,0,0,94.12,0.14339999854564667,-1
2015,1,1,18,0,0,0,0,0,0,0,99.42,0.14339999854564667,-1
2015,1,1,18,30,0,0,0,0,0,0,104.9,0.14339999854564667,-1
2015,1,1,19,0,0,0,0,0,0,0,110.51,0.14339999854564667,-2
2015,1,1,19,30,0,0,0,0,0,0,116.21000000000001,0.14339999854564667,-2
2015,1,1,20,0,0,0,0,0,0,0,121.99000000000001,0.14339999854564667,-2
2015,1,1,20,30,0,0,0,0,0,0,127.8,0.14339999854564667,-2
2015,1,1,21,0,0,0,0,0,0,0,133.62,0.14339999854564667,-3
2015,1,1,21,30,0,0,0,0,0,0,139.39000000000001,0.14339999854564667,-3
2015,1,1,22,0,0,0,0,0,0,0,145.06,0.14339999854564667,-3
2015,1,1,22,30,0,0,0,0,0,0,150.51,0.14339999854564667,-3
2015,1,1,23,0,0,0,0,0,0,0,155.57,0.14339999854564667,-4
2015,1,1,23,30,0,0,0,0,0,0,159.91,0.14339999854564667,-4
2015,1,2,0,0,0,0,0,0,0,0,162.93,0.14339999854564667,-5
2015,1,2,0,30,0,0,0,0,0,0,163.86,0.14339999854564667,-5
2015,1,2,1,0,0,0,0,0,0,0,162.37,0.14339999854564667,-5
2015,1,2,1,30,0,0,0,0,0,0,158.96,0.14339999854564667,-5
2015,1,2,2,0,0,0,0,0,0,0,154.41,0.14339999854564667,-5
2015,1,2,2,30,0,0,0,0,0,0,149.23,0.14339999854564667,-5
2015,1,2,3,0,0,0,0,0,0,0,143.72,0.14339999854564667,-5
2015,1,2,3,30,0,0,0,0,0,0,138.02,0.14339999854564667,-4
2015,1,2,4,0,0,0,0,0,0,0,132.23,0.14339999854564667,-4
2015,1,2,4,30,0,0,0,0,0,0,126.41,0.14339999854564667,-4
2015,1,2,5,0,0,0,0,0,0,0,120.60000000000001,0.14339999854564667,-4
2015,1,2,5,30,0,0,0,0,0,0,114.83,0.14339999854564667,-4
2015,1,2,6,0,0,0,0,0,0,0,109.14,0.14339999854564667,-4
2015,1,2,6,30,0,0,0,0,0,0,103.56,0.14339999854564667,-3
2015,1,2,7,0,0,0,0,0,0,0,98.12,0.14339999854564667,-3
2015,1,2,7,30,0,0,0,0,0,0,92.85000000000001,0.14339999854564667,-2
2015,1,2,8,0,10,0,10,16,217,25,87.8,0.14339999854564667,-2
2015,1,2,8,30,37,0,37,36,466,93,83.01,0.14339999854564667,-1
2015,1,2,9,0,76,104,97,50,608,171,78.54,0.14339999854564667,0
2015,1,2,9,30,107,124,141,60,699,247,74.45,0.14339999854564667,0
2015,1,2,10,0,123,16,128,67,755,316,70.8,0.14339999854564667,1
2015,1,2,10,30,160,82,191,72,796,375,67.69,0.14339999854564667,1
2015,1,2,11,0,167,33,181,78,815,421,65.18,0.14339999854564667,2
2015,1,2,11,30,175,27,187,81,832,454,63.34,0.14339999854564667,2
2015,1,2,12,0,191,43,211,86,829,472,62.25,0.14339999854564667,3
2015,1,2,12,30,207,90,250,87,830,477,61.940000000000005,0.14339999854564667,3
2015,1,2,13,0,207,137,270,89,814,466,62.42,0.14339999854564667,3
2015,1,2,13,30,174,29,187,87,800,442,63.68,0.14339999854564667,3
2015,1,2,14,0,179,147,240,87,765,402,65.67,0.14339999854564667,3
2015,1,2,14,30,155,80,185,82,730,352,68.31,0.14339999854564667,2
2015,1,2,15,0,125,42,138,82,650,287,71.55,0.14339999854564667,2
